,City,Lat,Lng,temp,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
78,albanel,48.88,-72.45,86.0,75,CA,1592438656,40,86.0,10.29
79,torbay,47.67,-52.73,61.0,90,CA,1592438656,41,61.0,24.16
80,chokurdakh,70.63,147.92,81.32,8,RU,1592438656,27,81.32,10.69
81,qaqortoq,60.72,-46.03,42.8,98,GL,1592438656,82,42.8,11.41
82,cap-aux-meules,47.38,-61.86,69.8,90,CA,1592438656,46,69.8,19.46
83,nouadhibou,20.93,-17.03,80.6,0,MR,1592438358,51,80.6,19.46
84,east london,-33.02,27.91,59.27,1,ZA,1592438543,67,59.27,11.01
85,deputatskiy,69.3,139.9,76.01,0,RU,1592438555,27,76.01,9.57
86,dwarka,22.24,68.97,84.58,45,IN,1592438657,82,84.58,6.82
87,cidreira,-30.18,-50.21,64.58,28,BR,1592438538,87,64.58,10.85
88,kavieng,-2.57,150.8,85.17,17,PG,1592438657,67,85.17,8.55
89,port alfred,-33.59,26.89,51.01,0,ZA,1592438657,88,51.01,1.01
90,murdochville,48.96,-65.5,69.3,100,CA,1592438657,62,69.3,6.58
91,faanui,-16.48,-151.75,81.7,100,PF,1592438657,77,81.7,6.98
92,punta arenas,-53.15,-70.92,28.4,0,CL,1592438514,92,28.4,5.57
93,leiva,1.93,-77.3,66.83,83,CO,1592438658,96,66.83,3.42
94,evensk,61.95,159.23,56.19,47,RU,1592438658,70,56.19,10.33
95,tuatapere,-46.13,167.68,39.0,25,NZ,1592438658,83,39.0,3.0
96,carnarvon,-24.87,113.63,66.2,90,AU,1592438658,100,66.2,11.41
97,braintree,51.88,0.55,60.01,99,GB,1592438658,93,60.01,1.01
98,alofi,-19.06,-169.92,77.0,75,NU,1592438658,61,77.0,19.46
99,cozumel,20.51,-86.95,78.01,90,MX,1592438389,88,78.01,8.05
100,florianopolis,-27.61,-48.5,71.01,75,BR,1592438408,83,71.01,11.41
101,leshukonskoye,64.9,45.76,37.99,8,RU,1592438659,79,37.99,2.57
102,tessalit,20.2,1.01,96.28,0,ML,1592438659,11,96.28,15.26
103,goryachegorsk,55.41,88.92,59.49,1,RU,1592438659,73,59.49,4.99
104,cravo norte,6.3,-70.2,78.08,81,CO,1592438659,88,78.08,1.81
105,laguna,38.42,-121.42,90.0,1,US,1592438659,16,90.0,16.11
